NAME,bracelet,sharp,t0_c3_tri_c5_pen,t1_c3_tri_c5_pen,t0_c4_tri_c5_pen,t1_c4_tri_c5_pen,t2_c4_tri_c5_pen,t0_c5_pen_c5_pen,t1_c5_pen_c5_pen,E_2,E_3,Q_3_3,Q_2_9,Q_3_9,Q_9_9,ARM_0_2,ARM_0_3,ARM_1_2,ARM_2_2,ARM_2_3,ARM_2_4,ARM_3_3,c6_qua,mysterycell
STAR_154,"(2, 3, 3, 3, 5)",0,0,0,1,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
STAR_155,"(2, 3, 3, 5, 3)",0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
STAR_156,"(2, 3, 3, 5, 5)",0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_157,"(2, 3, 5, 2, 5)",0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_158,"(2, 3, 5, 3, 5)",0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_159,"(2, 3, 5, 5, 3)",0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
STAR_160,"(2, 3, 5, 5, 5)",0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_161,"(2, 5, 2, 5, 5)",0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_162,"(2, 5, 3, 3, 5)",0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_163,"(2, 5, 3, 5, 5)",0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_164,"(2, 5, 5, 5, 5)",0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_165,"(3, 3, 3, 3, 3)",1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
STAR_166,"(3, 3, 3, 3, 5)",0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
STAR_167,"(3, 3, 3, 5, 5)",0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STAR_168,"(3, 3, 5, 3, 5)",0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_169,"(3, 3, 5, 5, 5)",0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_170,"(3, 5, 3, 5, 5)",0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_171,"(3, 5, 5, 5, 5)",0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_172,"(5, 5, 5, 5, 5)",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
